"geneSym","rankv"
"SFXN1",524
"C6orf62",525
"RPS5",526
"ABCB4",527
"NR2F6",528
"RPS3A",529
"GABARAPL1",530
"LCP1",531
"INSR",532
"OSBP",533
"MGMT",534
"MORF4L2",535
"HINT2",536
"SF1",537
"NGFRAP1",538
"POLD4",539
"SLC38A4",540
"AKR1A1",541
"CRYZ",542
"CISD2",543
"APOE",544
"NFKBIA",545
"ZFP36",546
"DAD1",547
"HAL",548
"CXCL12",549
"SORD",550
"CHCHD10",551
"HNRNPK",552
"C19orf43",553
"UGCG",554
"CSK",555
"CHPT1",556
"COX7C",557
"LAP3",558
"PTDSS1",559
"NAP1L1",560
"LEPROT",561
"PARK7",562
"G3BP1",563
"ADAR",564
"XRCC5",565
"BCL6",566
"SEC31A",567
"DERA",568
"CCL16",569
"HFE2",570
"MATR3",571
"RAB13",572
"CABC1",573
"SLC39A9",574
"DUT",575
"ZNF747",576
"ADH6",577
"NCL",578
"EIF4G2",579
"PBLD",580
"SLC38A2",581
"IRF2BP2",582
"ACO1",583
"DYNC1LI2",584
"PPP2CB",585
"MYO1B",586
"MGST2",587
"GPX3",588
"NUB1",589
"C6orf106",590
"RND3",591
"MAT2B",592
"SFRS3",593
"NCOA4",594
"HTRA1",595
"GLYATL1",596
"LMAN2",597
"AHCY",598
"DNAJA1",599
"DUSP3",600
"SDHB",601
"C8orf4",602
"LARP1",603
"PLS3",604
"COL3A1",605
"SARS",606
"PECI",607
"C5orf15",608
"XRN1",609
"AK3",610
"CXCL2",611
"CAP1",612
"CLEC1B",613
"ASGR1",614
"AUP1",615
"CYP4V2",616
"CCT5",617
"RTN4",618
"RNASE4",619
"SURF1",620
"GLS2",621
"TOMM20",622
"PPP2R1B",623
"CMPK1",624
"KLHDC2",625
"CAPNS1",626
"CDC42SE2",627
"C1orf128",628
"RAC1",629
"FGGY",630
"KIAA1671",631
"R3HDM2",632
"C20orf108",633
"SAR1A",634
"EGLN1",635
"PARP14",636
"AHNAK",637
"UFM1",638
"MRPL20",639
"HSD17B13",640
"PHGDH",641
"MRPS6",642
"SEC61B",643
"ABHD2",644
"ACY1",645
"FBXO7",646
"KANK1",647
"SORBS2",648
"DUSP6",649
"SEC13",650
"OTC",651
"SELENBP1",652
"GCH1",653
"YPEL5",654
"DPYS",655
"MANF",656
"HNF4A",657
"KRTCAP2",658
"PANK1",659
"HSD17B12",660
"CCT8",661
"KLF9",662
"TMED10",663
"UBE4A",664
"RNASE1",665
"PRDX4",666
"CD163",667
"WEE1",668
"DUSP5",669
"NDUFS5",670
"DDX3X",671
"GBA3",672
"MDH1",673
"COQ10B",674
"PSMC2",675
"ARHGDIA",676
"CTSO",677
"TGM2",678
"AQP3",679
"MTSS1",680
"F12",681
"LASS2",682
"IAH1",683
"ACAD11",684
"HPR",685
"TMEM2",686
"C15orf38",687
"PFN1",688
"APOF",689
"FOXO1",690
"SLC22A10",691
"DAP3",692
"TARDBP",693
"PUM1",694
"CTH",695
"EXT1",696
"MTCP1NB",697
"PNPO",698
"GOLPH3",699
"ECHDC3",700
"ACOX2",701
"UGT2B10",702
"SRRM1",703
"UBE2D3",704
"GSTZ1",705
"FETUB",706
"CDV3",707
"YWHAZ",708
"RPLP0",709
"GNPNAT1",710
"GPNMB",711
"AHCYL1",712
"MT1L",713
"ACSM5",714
"CCT3",715
"RPL17",716
"SFRS6",717
"LAMP2",718
"GNL3",719
"MTHFS",720
"TXN",721
"C10orf10",722
"HIF1A",723
"UBE2E2",724
"GK",725
"TXNL1",726
"OCIAD2",727
"RPS27",728
"MRPL36",729
"N4BP2L1",730
"RPS9",731
"ALDH5A1",732
"SAR1B",733
"PRCP",734
"EIF4B",735
"CNOT1",736
"C2orf47",737
"TTC38",738
"ESYT1",739
"ARPC2",740
"SERPINF2",741
"PSMA7",742
"PITPNB",743
"RMND5A",744
"HINT1",745
"DNASE1L3",746
"SLC25A13",747
"HEBP2",748
"C22orf13",749
"BSG",750
"ENSA",751
"PID1",752
"ALAS1",753
"EMP2",754
"ARHGDIB",755
"XPO1",756
"TBCA",757
"HMGB1",758
"SF3B1",759
"C5orf32",760
"PTPRK",761
"RAB8A",762
"RBM39",763
"MAFB",764
"NFIA",765
"TM2D3",766
"SNX3",767
"PSMB1",768
"ARL6IP1",769
"DNAJC15",770
"RBM14",771
"VAMP8",772
"GOLT1A",773
"SDHC",774
"PGRMC2",775
"ANXA7",776
"TSPAN31",777
"STAT6",778
"NFYC",779
"ERLIN1",780
"LTBP1",781
"CSDA",782
"CAST",783
"PDLIM1",784
"HS3ST3B1",785
"COL1A2",786
"CFL2",787
"CDC37L1",788
"SSU72",789
"VNN1",790
"NCRNA00188",791
"MRPS35",792
"GDA",793
"PPM1A",794
"G3BP2",795
"ALDH4A1",796
"GHITM",797
"SORL1",798
"MARCKS",799
"PSMA1",800
"ID1",801
"CRADD",802
"FOXO3",803
"PPP6C",804
"ANKRD37",805
"SEC23A",806
"CRISPLD2",807
"PLSCR4",808
"HNRNPF",809
"AFF4",810
"HABP2",811
"UBE2N",812
"C1QC",813
"PSMA6",814
"UBE2L6",815
"AGXT2L1",816
"UQCRFSL1",817
"SCP2",818
"ARL5B",819
"LAMP1",820
"ERBB3",821
"NOLC1",822
"C19orf53",823
"TSC22D1",824
"RPL15",825
"ATP13A3",826
"DCAF6",827
"TRA2A",828
"JAK1",829
"CYP2B7P1",830
"RETSAT",831
"PCBP2",832
"TAPBP",833
"TJP1",834
"C9orf78",835
"STOML2",836
"AGPAT9",837
"ADIPOR2",838
"GPR126",839
"HEBP1",840
"GPI",841
"THBS2",842
"MXI1",843
"RXRA",844
"ACTA2",845
"CCL21",846
"SLCO1B1",847
"DAPK1",848
"GLRX5",849
"RBP5",850
"BAT2L2",851
"ACBD3",852
"UBA1",853
"SEC11A",854
"ADIPOR1",855
"ATP6V1A",856
"SERP1",857
"TARS",858
"FAT1",859
"PRNP",860
"EIF4A2",861
"SLC39A11",862
"CD5L",863
"DLD",864
"EIF5",865
"C1QB",866
"SHC1",867
"VDAC1",868
"ELOVL5",869
"PDCD4",870
"ARHGEF12",871
"PCBP1",872
"PSMA2",873
"CASP4",874
"YME1L1",875
"RBMX",876
"HNRNPU",877
"PRELP",878
"UBP1",879
"ENPP1",880
"DPYSL2",881
"CLPX",882
"RTN3",883
"IQGAP2",884
"MYADM",885
"ZNHIT1",886
"IVD",887
"USP9X",888
"C14orf2",889
"PRICKLE4",890
"CPN1",891
"WTAP",892
"NFIL3",893
"APOL6",894
"NONO",895
"CS",896
"ANKRD13A",897
"ABHD14B",898
"MAN1C1",899
"TRAM1",900
"MRPL54",901
"API5",902
"CYP3A5",903
"MKRN1",904
"SPIN1",905
"SLC35D1",906
"RAB11A",907
"LPGAT1",908
"SPCS3",909
"HDGF",910
"UAP1",911
"UBE2R2",912
"PDIA3",913
"NAB1",914
"DERL2",915
"SLPI",916
"TALDO1",917
"IFIT2",918
"CUL1",919
"BRP44",920
"UGT3A1",921
"RAB7A",922
"QPRT",923
"NGRN",924
"MGLL",925
"NUCB1",926
"MRPL21",927
"MASP2",928
"TMEM45A",929
"CD9",930
"ANGPTL4",931
"MOSC2",932
"TSPYL1",933
"PPIF",934
"BHMT2",935
"EIF1B",936
"GSR",937
"MTMR4",938
"LSM14A",939
"RPS27A",940
"TCF7L2",941
"DSP",942
"ATP5H",943
"COMMD1",944
"OAT",945
"GLUL",946
"IGFBP2",947
"CCNG1",948
"DHRS1",949
"SEC61G",950
"CYP51A1",951
"SLC25A18",952
"RARRES3",953
"AEBP1",954
"S100A16",955
"GBE1",956
"SLC30A9",957
"CALU",958
"SEPX1",959
"MRPL16",960
"ARCN1",961
"FSTL1",962
"NDUFA11",963
"HNRNPUL1",964
"ZRANB2",965
"FAM120A",966
"TOMM70A",967
"TSPAN6",968
"PPP1CB",969
"AIF1",970
"PHLPP1",971
"BDH1",972
"YTHDC1",973
"NBR1",974
"MTCH2",975
"TNFSF10",976
"CRYL1",977
"RSC1A1",978
"NUPR1",979
"RNF7",980
"TFG",981
"NADK",982
"CNN3",983
"RNASET2",984
"NDUFS4",985
"CDKN1A",986
"FKBP2",987
"SQRDL",988
"C14orf1",989
"PCSK6",990
"GNS",991
"PDCD5",992
"RNF19A",993
"TCF4",994
"LRRC47",995
"NOP10",996
"GLO1",997
"TIMP3",998
"FAM98A",999
"FIS1",1000
"COPB2",1001
"SMPD1",1002
"CRK",1003
"VDAC2",1004
"RAP2B",1005
"ACAT2",1006
"MS4A6A",1007
"TBC1D5",1008
"EIF4E",1009
"OCIAD1",1010
"C10orf58",1011
"NR2F2",1012
"RAD23B",1013
"MMADHC",1014
"GANAB",1015
"RNF181",1016
"FARP1",1017
"MAP1LC3B",1018
"RSL24D1",1019
"BHLHE40",1020
"PTEN",1021
"USO1",1022
"QKI",1023
"C10orf104",1024
"CYP2J2",1025
"MPST",1026
"BCHE",1027
"EFNA1",1028
"ZC3H4",1029
"ADK",1030
"ZFAND5",1031
"ALAD",1032
"C14orf119",1033
"CFDP1",1034
"DHTKD1",1035
"DLC1",1036
"UXT",1037
"ACTR3",1038
"MTTP",1039
"SLC25A32",1040
"MAN1A1",1041
"FCN2",1042
"DDAH1",1043
"ESRP2",1044
"GALNT1",1045
"ITSN1",1046
"GRB14",1047
"LYVE1",1048
"CLINT1",1049
"FBLN5",1050
"KIAA0494",1051
"CWC15",1052
"PHLDA1",1053
"ADSS",1054
"FKBP1A",1055
"C14orf166",1056
"ZFP91",1057
"PTMS",1058
"MT1M",1059
"COL18A1",1060
"TMEM123",1061
"ATP5G2",1062
"ST3GAL6",1063
"DMD",1064
"H3F3B",1065
"LUM",1066
"DMGDH",1067
"C12orf62",1068
"PSMA4",1069
"MRPL27",1070
"MRPS5",1071
"SRP19",1072
"DIO1",1073
"PPP1R3C",1074
"KDELR1",1075
"EDEM3",1076
"JUN",1077
"RELN",1078
"FH",1079
"GNPTG",1080
"PDGFRA",1081
"FUCA1",1082
"CORO1C",1083
"PDHA1",1084
"ATP2A2",1085
"ABLIM1",1086
"DHRS7",1087
"SLC30A1",1088
"HNRNPA0",1089
"ZMYND11",1090
"S100A10",1091
"PPIG",1092
"TIMM9",1093
"MIA3",1094
"NDUFS2",1095
"P4HA1",1096
"GLYAT",1097
"CISD1",1098
"CYR61",1099
"CCDC56",1100
"MRPL40",1101
"HEXB",1102
"NUDT5",1103
"ERCC5",1104
"NDUFB10",1105
"DUSP23",1106
"AP3S1",1107
"FURIN",1108
"BNIP3",1109
"TACO1",1110
"NDUFA6",1111
"SLC17A2",1112
"PIP4K2A",1113
"CCL2",1114
"FAM168B",1115
"PEMT",1116
"PTTG1IP",1117
"PERP",1118
"INMT",1119
"GJB1",1120
"TM4SF5",1121
"MOCS2",1122
"LONP2",1123
"TJP2",1124
"CTAGE5",1125
"CCND1",1126
"SLC22A7",1127
"C9orf5",1128
"ZCCHC6",1129
"ATP2B4",1130
"UBAP1",1131
"EIF3D",1132
"HECTD1",1133
"SEPT7",1134
"ITIH4",1135
"KLHL2",1136
"C11orf31",1137
"LGALS4",1138
"HIST1H2BK",1139
"FAF2",1140
"SNTB1",1141
"FTO",1142
"FDFT1",1143
"UQCRC2",1144
"TSNAX",1145
"TMEM85",1146
"RREB1",1147
"SLC9A3R1",1148
"PPAP2A",1149
"ZNF22",1150
"CLK1",1151
"GNE",1152
"COL4A1",1153
"PDXDC1",1154
"IFNGR1",1155
"ELL2",1156
"GNG11",1157
"ARF4",1158
"LSM3",1159
"IMMT",1160
"MAF",1161
"OGT",1162
"CCDC117",1163
"TOLLIP",1164
"TMEM14A",1165
"WDR43",1166
"FGFR3",1167
"ACTR2",1168
"NIPSNAP1",1169
"ZFAND2A",1170
"MRPS27",1171
"BUD31",1172
"WSB2",1173
"CAPZA1",1174
"C6orf48",1175
"TTC3",1176
"HMGCL",1177
"NDUFV1",1178
"PSME4",1179
"OIT3",1180
"ADAMTS4",1181
"CALM3",1182
"HSBP1",1183
"IL1R1",1184
"AIFM1",1185
"PFKFB3",1186
"ENO3",1187
"MAFF",1188
"EDEM1",1189
"RPN1",1190
"PSMC4",1191
"PA2G4",1192
"ZCRB1",1193
"CTBP1",1194
"IFITM1",1195
"COBLL1",1196
"CPNE3",1197
"MRPL24",1198
"STAT3",1199
"SDC2",1200
"CRIM1",1201
"SACM1L",1202
"PLA1A",1203
"TAF10",1204
"ATP11A",1205
"NDUFS1",1206
"ARL4C",1207
"PTPRA",1208
"NDUFA8",1209
"PSMA5",1210
"TTC39C",1211
"SHMT2",1212
"GRB2",1213
"DHDPSL",1214
"MIDN",1215
"ANP32B",1216
"THBS1",1217
"TXNRD1",1218
"PLA2G16",1219
"RNF5",1220
"CPT2",1221
"PTPLAD1",1222
"PCCA",1223
"SMPDL3A",1224
"TRA2B",1225
"PIK3AP1",1226
"SAPS3",1227
"COL1A1",1228
"CNDP1",1229
"C7orf30",1230
"MET",1231
"COLEC11",1232
"SLC1A2",1233
"PSMD11",1234
"AK3L1",1235
"LEPR",1236
"SRP68",1237
"NDUFB7",1238
"UBQLN1",1239
"ENY2",1240
"LASP1",1241
"BCAP31",1242
"RAPGEF2",1243
"SIAH2",1244
"C14orf4",1245
"CRLS1",1246
"ST13",1247
"SETD7",1248
"TBX15",1249
"NDRG1",1250
"CNP",1251
"LGALS3BP",1252
"SLC25A20",1253
"SP3",1254
"CDC27",1255
"MAPRE1",1256
"S100A13",1257
"RPL27",1258
"HSD3B7",1259
"FAM96A",1260
"LUC7L3",1261
"SLC31A1",1262
"MAPK6",1263
"GALT",1264
"TMX2",1265
"TGFBR2",1266
"SRGN",1267
"PDHB",1268
"IFI27",1269
"CTSS",1270
"RRAGA",1271
"ORAI3",1272
"DAZAP2",1273
"ZNF24",1274
"ABCD3",1275
"STEAP4",1276
"MRPS2",1277
"VPS28",1278
"BRD2",1279
"DDX24",1280
"SEPW1",1281
"MARCO",1282
"GHR",1283
"RDH10",1284
"PAFAH1B1",1285
"CCNL1",1286
"CCDC6",1287
"OXSR1",1288
"SEPP1",1289
"PNO1",1290
"KHDRBS1",1291
"NPTN",1292
"HAGH",1293
"IRF8",1294
"DEK",1295
"TLE1",1296
"AMD1",1297
"KLF11",1298
"UBL5",1299
"RPL13",1300
"EML4",1301
"RHPN2",1302
"OXNAD1",1303
"GAMT",1304
"DNAJB1",1305
"EHBP1",1306
"EGFR",1307
"ZHX2",1308
"MTRR",1309
"PSMB8",1310
"TMEM9B",1311
"EIF2AK1",1312
"ANXA5",1313
"ARFGAP3",1314
"PSMB3",1315
"HMGN3",1316
"IGF1",1317
"FAM102A",1318
"RNF13",1319
"JAG1",1320
"ATP1A1",1321
"GNL2",1322
"FOXA1",1323
"EFR3A",1324
"ATF3",1325
"GGH",1326
"ANPEP",1327
"BLNK",1328
"RWDD2B",1329
"PHLDB2",1330
"NFKBIZ",1331
"C2orf79",1332
"CD53",1333
"TRIM22",1334
"ARSE",1335
"HDLBP",1336
"PGD",1337
"CYFIP1",1338
"GPR137B",1339
"NHP2",1340
"MBNL3",1341
"KCMF1",1342
"C1QBP",1343
"CNIH",1344
"YY1",1345
"ARPC5",1346
"REEP6",1347
"RAB31",1348
"S100A8",1349
"MGEA5",1350
"HDAC6",1351
"HERPUD2",1352
"SLCO2B1",1353
"GSPT1",1354
"QARS",1355
"PSMC3",1356
"ECM1",1357
"MRPS18B",1358
"PSMB9",1359
"KPNA1",1360
"PTBP1",1361
"ADAM10",1362
"MFSD2A",1363
"ATP6V0B",1364
"SMG1",1365
"C7orf42",1366
"OSBPL9",1367
"BCAP29",1368
"ACOT12",1369
"PDXK",1370
"PMPCB",1371
"C6orf115",1372
"SNW1",1373
"C15orf63",1374
"LPHN2",1375
"GLDC",1376
"PSMD8",1377
"MTDH",1378
"BTF3",1379
"TCEA1",1380
"NUCB2",1381
"SERPINB1",1382
"RALA",1383
"ZNF664",1384
"HIST1H1C",1385
"CLIC4",1386
"CAPN2",1387
"XAF1",1388
"SERPINB9",1389
"MBD2",1390
"RBM16",1391
"CEACAM1",1392
"VAV2",1393
"PSMB2",1394
"C12orf23",1395
"CUX2",1396
"LBR",1397
"C19orf42",1398
"KMO",1399
"ATL3",1400
"RAB21",1401
"CDC42EP4",1402
"BTAF1",1403
"TUBA1C",1404
"CLDND1",1405
"GABARAPL2",1406
"AHSA1",1407
"SPARC",1408
"GM2A",1409
"FBXW11",1410
"PDLIM5",1411
"PSMB5",1412
"DNAJC1",1413
"FNIP2",1414
"SEC22B",1415
"APH1A",1416
"FLNB",1417
"MOBKL3",1418
"SLC25A4",1419
"TKT",1420
"SCD",1421
"GARS",1422
"NR0B2",1423
"QSOX1",1424
"GATAD2A",1425
"CLDN1",1426
"C11orf54",1427
"LST1",1428
"NDUFA10",1429
"RCC2",1430
"ABI1",1431
"INHBE",1432
"TPM1",1433
"ASPH",1434
"UBE2D2",1435
"NR1I3",1436
"VCP",1437
"RNF128",1438
"HSD17B10",1439
"HPS5",1440
"HIPK1",1441
"TRAPPC4",1442
"SMOC1",1443
"ATP6V0E1",1444
"GPX4",1445
"ERGIC3",1446
"ESR1",1447
"RAB5A",1448
"PAICS",1449
"TMEM208",1450
"MARCH6",1451
"DDX6",1452
"ETFDH",1453
"ATP5G1",1454
"SIK1",1455
"OAF",1456
"CBX3",1457
"NUDC",1458
"MRPS36",1459
"GIMAP5",1460
"YWHAH",1461
"SEMA6A",1462
"PPP2R1A",1463
"PQLC1",1464
"ARSD",1465
"CCDC47",1466
"TGOLN2",1467
"SEC16A",1468
"CASC3",1469
"SEC11C",1470
"NNT",1471
"SH3BGRL2",1472
"ANXA10",1473
"CRHBP",1474
"ATIC",1475
"AES",1476
"VPS35",1477
"TCEAL4",1478
"KRAS",1479
"TSKU",1480
"PDCD6IP",1481
"ALG2",1482
"STEAP3",1483
"CTSD",1484
"PAPOLA",1485
"CCDC50",1486
"FDPS",1487
"ICT1",1488
"SNX18",1489
"CDC42",1490
"ZCCHC24",1491
"FST",1492
"LEPROTL1",1493
"NFIB",1494
"MRPL18",1495
"VCL",1496
"AK2",1497
"IMPA1",1498
"FAM134B",1499
"OXA1L",1500
"TBX3",1501
"TMEM126B",1502
"EPN1",1503
"PIK3R1",1504
"SPG21",1505
"PSMA3",1506
"TAX1BP1",1507
"TSC22D3",1508
"FLCN",1509
"HNRNPA3",1510
"NCOA7",1511
"COPB1",1512
"WDR3",1513
"GLT8D1",1514
"MAZ",1515
"GGCX",1516
"CDH2",1517
"RAPH1",1518
"PARL",1519
"SLC5A6",1520
"RNF103",1521
"DYNLT3",1522
"ITGA9",1523
"C1orf115",1524
"ELOVL2",1525
"DYRK1A",1526
"FXN",1527
"ARPP19",1528
"GORASP2",1529
"PSMD2",1530
"PUM2",1531
"BLOC1S2",1532
"CNBP",1533
"RCL1",1534
"GNG12",1535
